Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;1.20;2.21;1.22;0.73;0.38;0.26;0.40;0.25;0.30;0.23;0.30;3.01
Price/Earnings;—;54.20;90.32;46.95;28.29;23.31;28.81;27.38;23.50;15.44;14.74;22.28;25.53
Price/Cash Flow;—;18.40;37.04;19.95;11.18;9.28;4.91;8.02;5.96;4.66;8.12;6.24;17.03
Price/Book;—;5.68;11.27;6.41;3.97;2.11;1.49;2.34;1.41;1.79;1.85;1.79;4.19
Price/Forward Earnings;—;—;62.11;43.48;25.13;27.03;40.65;34.84;—;—;—;32.06;—
PEG Ratio;—;—;—;2.29;1.44;—;—;—;—;—;—;—;—
Earnings Yield %;—;1.85;1.11;2.13;3.53;4.29;3.47;3.65;4.26;6.48;6.78;4.78;—
Enterprise Value (Mil);—;432.01;963.22;650.34;482.97;322.29;254.86;388.21;273.83;681.63;650.52;404.57;—
Enterprise Value/EBIT;—;31.37;50.44;26.82;16.87;15.81;18.08;25.79;16.33;24.56;27.62;21.41;—
Enterprise Value/EBITDA;—;17.64;29.53;15.69;9.67;7.02;5.84;8.73;5.99;11.56;12.00;8.26;—
