Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.63;0.52;1.08;1.42;1.36;2.22;1.39;1.18;1.45;1.05;1.42;1.47;3.01
Price/Earnings;18.10;—;69.85;—;12.41;22.74;88.09;—;27.50;—;20.52;35.96;25.53
Price/Cash Flow;12.92;10.36;9.79;10.66;5.39;8.38;5.89;4.88;5.20;2.87;3.95;5.46;17.03
Price/Book;1.60;1.29;1.68;2.54;1.89;2.66;1.15;0.77;1.20;0.84;1.14;1.35;4.19
Price/Forward Earnings;17.67;38.76;33.22;19.31;17.42;23.47;26.11;19.38;17.24;12.99;24.27;21.17;—
PEG Ratio;7.85;8.63;0.89;1.24;—;—;—;—;—;—;—;—;—
Earnings Yield %;5.52;-6.94;1.43;-3.48;8.05;4.40;1.14;-11.99;3.64;-17.77;-7.56;-3.69;—
Enterprise Value (Bil);6.13;5.66;6.47;7.27;6.21;7.04;6.41;5.61;6.16;5.12;5.48;6.10;—
Enterprise Value/EBIT;19.45;—;29.32;216.38;14.05;16.23;22.18;16.13;16.15;64.56;23.73;28.72;—
Enterprise Value/EBITDA;12.81;53.40;16.23;32.52;9.57;10.87;11.90;8.74;9.24;14.06;10.61;11.71;—
