Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.34;0.38;0.40;0.36;0.46;0.54;0.74;1.05;0.83;0.74;0.82;0.82;3.01
Price/Earnings;24.38;20.87;25.81;34.58;30.28;24.47;30.83;31.12;22.82;20.61;25.92;27.25;25.53
Price/Cash Flow;14.60;8.99;28.75;12.34;10.09;12.21;14.11;18.76;21.76;12.00;10.99;16.32;17.03
Price/Book;2.73;3.47;3.72;3.46;6.64;21.44;23.34;25.16;82.65;76.64;48.33;65.00;4.19
Price/Forward Earnings;14.97;16.29;19.16;25.32;18.25;16.61;21.65;22.78;19.84;20.16;23.75;21.24;—
PEG Ratio;0.63;0.79;1.28;1.69;1.11;0.92;1.31;1.27;1.32;1.34;1.59;1.29;—
Earnings Yield %;4.10;4.79;3.87;2.89;3.30;4.09;3.24;3.21;4.38;4.85;3.86;4.01;—
Enterprise Value (Bil);0.43;0.55;0.72;0.63;0.96;1.39;2.21;3.56;3.38;3.14;3.47;2.86;—
Enterprise Value/EBIT;8.05;7.73;10.30;13.42;11.82;12.30;17.92;20.15;16.68;14.34;17.84;17.17;—
Enterprise Value/EBITDA;6.28;6.16;7.94;9.26;9.49;10.71;15.69;18.00;14.69;12.56;15.35;15.10;—
