Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.46;1.52;2.10;2.91;2.31;3.07;2.88;3.47;3.93;3.03;2.06;3.17;3.07
Price/Earnings;16.70;15.73;18.32;18.01;17.53;21.58;17.23;11.77;19.76;—;18.50;18.02;25.84
Price/Cash Flow;7.77;5.33;9.39;9.60;6.07;9.78;9.66;7.60;13.57;8.09;9.53;9.46;17.36
Price/Book;2.19;2.01;2.25;2.18;1.57;1.94;1.82;1.94;2.13;1.74;1.90;1.91;4.27
Price/Forward Earnings;15.53;12.58;13.55;16.89;13.79;18.21;15.67;18.38;19.61;14.22;15.92;17.15;—
PEG Ratio;2.22;2.59;2.22;3.16;—;2.67;2.10;—;5.54;4.13;—;3.72;—
Earnings Yield %;5.99;6.36;5.46;5.55;5.71;4.63;5.80;8.50;5.06;-3.01;5.40;4.33;—
Enterprise Value (Bil);8.43;8.84;9.58;10.00;7.96;9.52;9.82;10.88;12.25;9.84;11.62;10.41;—
Enterprise Value/EBIT;12.89;12.92;14.58;14.28;14.00;15.95;14.19;16.01;19.11;—;17.93;16.54;—
Enterprise Value/EBITDA;8.81;8.35;9.66;10.27;9.12;10.40;10.01;10.92;12.47;48.60;11.14;17.55;—
