Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.83;0.80;0.92;0.79;0.65;0.80;0.99;0.49;0.45;0.71;1.17;0.69;3.07
Price/Earnings;7.07;11.67;12.38;15.60;18.17;—;75.70;4.44;23.96;—;22.85;34.19;25.84
Price/Cash Flow;8.48;6.26;6.43;10.43;7.76;8.51;9.15;4.36;3.86;7.66;10.17;6.83;17.36
Price/Book;1.56;1.73;2.09;1.57;2.72;1.82;2.59;1.14;1.02;2.64;4.32;1.83;4.27
Price/Forward Earnings;10.17;9.21;12.42;9.88;12.53;21.65;15.90;9.18;38.31;-153.85;8.24;52.44;—
PEG Ratio;0.78;0.66;12.43;4.94;—;—;—;—;—;—;—;—;—
Earnings Yield %;14.15;8.57;8.08;6.41;5.50;-3.63;1.32;22.53;4.17;-26.10;-8.96;1.28;—
Enterprise Value (Bil);1.85;2.28;2.71;2.19;3.27;7.78;9.41;6.50;6.20;7.94;11.21;7.68;—
Enterprise Value/EBIT;4.87;9.06;8.71;9.91;20.60;135.84;32.87;9.75;16.13;—;71.26;72.73;—
Enterprise Value/EBITDA;3.89;6.29;6.10;6.09;10.95;13.45;11.29;5.14;6.23;—;41.04;11.00;—
