Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.70;0.44;0.97;1.27;1.15;0.84;0.62;0.28;0.21;0.32;0.41;0.48;3.01
Price/Earnings;10.13;4.93;13.55;15.04;10.93;11.34;23.29;4.35;7.46;—;12.87;12.33;25.53
Price/Cash Flow;3.65;3.25;6.30;9.40;6.87;6.41;3.99;2.44;2.32;4.06;3.47;4.06;17.03
Price/Book;—;19.43;443.16;17.64;28.53;21.70;20.78;4.41;27.03;13.39;80.41;22.48;4.19
Price/Forward Earnings;8.52;4.94;12.15;12.06;10.00;8.33;8.10;4.73;6.20;17.61;25.06;10.02;—
PEG Ratio;—;2.94;6.02;5.97;—;—;—;—;—;—;—;—;—
Earnings Yield %;9.87;20.30;7.38;6.65;9.15;8.82;4.29;23.01;13.40;-18.83;0.00;4.41;—
Enterprise Value (Bil);7.18;5.21;7.58;7.18;6.28;5.17;4.53;3.56;3.29;3.07;3.50;4.04;—
Enterprise Value/EBIT;9.90;7.23;12.53;12.89;9.36;10.34;15.42;9.44;17.56;—;32.68;14.45;—
Enterprise Value/EBITDA;7.17;5.34;9.06;9.65;7.36;7.53;9.76;6.12;8.28;40.88;13.12;14.58;—
