Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.95;5.74;4.97;5.20;4.88;5.53;4.94;4.34;5.26;3.81;4.43;4.82;3.01
Price/Earnings;27.05;48.20;36.71;67.82;382.48;17.66;17.74;38.73;74.63;5.50;9.99;26.88;25.53
Price/Cash Flow;11.88;13.78;11.08;14.09;15.12;11.94;11.90;11.19;12.55;10.96;12.08;11.99;17.03
Price/Book;1.08;1.15;1.03;1.24;1.31;1.40;1.29;1.24;1.67;1.04;1.22;1.34;4.19
Price/Forward Earnings;35.46;21.10;21.05;19.61;35.59;63.29;—;—;—;—;—;44.38;—
PEG Ratio;35.50;21.09;21.07;4.36;7.92;14.08;—;—;—;—;—;13.54;—
Earnings Yield %;3.70;2.11;2.72;1.47;0.26;5.66;5.64;2.58;1.34;18.18;10.01;6.61;—
Enterprise Value (Bil);6.63;4.43;4.41;5.13;5.17;5.02;4.46;3.86;4.67;3.60;3.96;4.35;—
Enterprise Value/EBIT;36.48;34.36;30.22;42.87;63.83;65.93;33.85;—;47.15;8.39;13.85;40.81;—
Enterprise Value/EBITDA;19.09;15.18;14.09;16.54;18.57;18.39;13.33;22.40;16.79;5.71;8.09;14.44;—
