Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.64;2.26;2.48;1.72;1.23;1.87;1.83;1.59;2.23;2.03;1.81;1.83;3.01
Price/Earnings;17.20;55.35;210.25;13.65;11.39;17.44;28.21;13.00;24.55;—;22.59;20.02;25.53
Price/Cash Flow;8.98;20.24;15.45;11.63;7.84;9.49;14.69;16.57;22.82;13.68;10.78;14.68;17.03
Price/Book;1.97;2.07;2.57;2.81;2.49;3.54;3.77;2.97;4.18;5.20;4.77;3.71;4.19
Price/Forward Earnings;14.06;16.95;22.88;19.49;18.32;21.28;21.23;—;—;—;—;20.52;—
PEG Ratio;2.16;3.39;4.58;3.90;3.66;4.26;—;—;—;—;—;4.03;—
Earnings Yield %;5.81;1.81;0.48;7.33;8.78;5.74;3.54;7.69;4.07;-9.59;-8.18;2.82;—
Enterprise Value (Bil);0.47;0.41;0.53;0.62;0.68;1.09;1.18;1.13;1.57;1.27;1.14;1.16;—
Enterprise Value/EBIT;12.07;21.90;43.28;9.63;8.96;13.64;17.30;15.28;18.41;—;16.48;15.37;—
Enterprise Value/EBITDA;9.92;15.29;25.67;8.42;7.78;11.45;13.64;12.16;15.03;—;12.83;12.35;—
