Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.96;1.23;1.40;1.69;1.69;2.02;2.24;2.31;2.78;2.57;2.57;2.36;3.07
Price/Earnings;—;15.66;19.14;22.62;19.35;3,430.00;20.43;38.05;—;19.81;19.23;293.30;25.84
Price/Cash Flow;6.15;5.86;5.01;5.92;5.78;7.38;6.33;7.74;8.77;7.47;8.36;7.35;17.36
Price/Book;0.91;1.02;1.15;1.37;1.38;1.62;1.82;1.85;2.42;2.35;2.06;1.98;4.27
Price/Forward Earnings;14.39;10.56;11.49;18.83;18.94;18.80;23.09;19.38;22.78;20.96;21.10;20.88;—
PEG Ratio;1.23;0.93;1.02;1.67;—;3.30;4.45;—;—;4.11;—;—;—
Earnings Yield %;-2.63;6.39;5.22;4.42;5.17;0.03;4.89;2.63;-0.24;5.05;5.20;2.72;—
Enterprise Value (Bil);3.41;3.47;3.76;4.32;4.63;5.40;5.90;6.13;7.31;7.73;7.71;6.44;—
Enterprise Value/EBIT;55.55;11.72;12.60;14.73;13.81;37.23;15.13;20.11;87.74;21.99;21.79;31.29;—
Enterprise Value/EBITDA;13.05;6.90;7.39;8.61;8.37;14.19;9.02;10.56;19.40;11.69;11.51;12.41;—
