Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.07;1.15;1.30;1.62;1.62;2.07;2.05;2.11;2.47;1.84;1.96;2.09;3.07
Price/Earnings;13.24;14.63;26.49;17.04;18.01;21.03;19.90;19.93;24.80;23.24;24.62;21.36;25.84
Price/Cash Flow;4.03;4.19;4.60;5.41;6.20;6.71;7.07;6.67;8.39;7.89;7.16;7.23;17.36
Price/Book;1.15;1.20;1.32;1.57;1.45;1.67;1.69;1.65;1.95;1.48;1.55;1.67;4.27
Price/Forward Earnings;13.11;11.39;12.35;16.67;15.48;18.83;19.49;18.62;22.22;16.03;17.39;19.49;—
PEG Ratio;2.54;1.97;2.95;2.35;4.31;3.52;5.22;6.17;5.03;2.68;4.52;5.22;—
Earnings Yield %;7.55;6.83;3.77;5.87;5.55;4.75;5.02;5.02;4.03;4.30;4.06;4.76;—
Enterprise Value (Bil);3.61;3.71;4.03;5.18;5.34;6.09;6.35;6.32;7.51;6.77;7.26;6.67;—
Enterprise Value/EBIT;11.82;11.89;18.56;15.61;16.54;18.07;16.28;16.16;21.95;22.40;24.37;18.81;—
Enterprise Value/EBITDA;6.68;6.62;8.70;8.39;8.52;9.24;8.77;8.32;10.04;9.32;9.72;9.10;—
