Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;0.66;0.74;0.72;0.42;0.09;0.31;0.54;0.48;3.01
Price/Earnings;—;—;—;—;526.36;13.52;14.53;5.54;—;—;22.28;14.47;25.53
Price/Cash Flow;—;—;—;—;18.20;6.41;7.01;5.83;38.12;3.52;9.84;10.46;17.03
Price/Book;—;—;—;—;1.86;1.81;1.26;0.94;0.28;5.00;14.09;2.42;4.19
Price/Forward Earnings;—;—;—;—;10.58;10.21;10.33;4.99;2.42;62.89;31.45;12.66;—
PEG Ratio;—;—;—;—;0.76;0.64;0.79;—;—;—;—;—;—
Earnings Yield %;—;—;—;—;0.19;7.39;6.88;18.04;-77.78;-118.54;4.49;-100.72;—
Enterprise Value (Bil);—;—;—;—;3.53;3.51;3.08;2.94;3.11;3.03;3.26;3.20;—
Enterprise Value/EBIT;—;—;—;—;26.78;12.31;11.46;10.72;—;—;379.29;15.00;—
Enterprise Value/EBITDA;—;—;—;—;16.55;9.55;8.71;8.29;72.19;—;38.27;15.45;—
