Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;0.19;0.28;0.25;0.40;0.56;0.55;0.37;0.48;0.40;0.59;0.45;3.07
Price/Earnings;—;8.19;13.39;11.22;9.54;22.62;25.48;6.52;11.25;—;116.19;19.05;25.84
Price/Cash Flow;—;7.87;7.52;11.76;8.87;12.16;22.14;7.80;7.04;9.76;17.83;11.49;17.36
Price/Book;—;1.59;2.11;1.80;1.87;1.96;2.26;1.69;1.98;1.55;2.14;1.82;4.27
Price/Forward Earnings;—;7.65;10.93;10.33;10.99;15.46;16.00;8.93;10.65;17.67;36.36;17.89;—
PEG Ratio;—;—;2.95;1.26;7.13;—;0.62;6.29;—;2.70;8.11;28.26;—
Earnings Yield %;—;12.20;7.47;8.91;10.48;4.42;3.92;15.35;8.89;-8.85;-5.56;4.82;—
Enterprise Value (Bil);—;36.61;45.73;42.28;47.43;51.53;59.91;49.71;58.79;43.62;52.56;50.93;—
Enterprise Value/EBIT;—;5.30;7.74;7.19;6.87;15.59;17.64;8.72;9.02;—;21.45;12.94;—
Enterprise Value/EBITDA;—;4.68;6.66;6.18;5.95;11.58;12.82;7.04;7.48;—;36.63;11.41;—
