Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.11;1.08;1.38;1.74;1.26;1.20;1.35;1.24;1.23;1.33;2.02;1.26;3.07
Price/Earnings;31.27;21.21;23.72;27.67;18.06;17.61;21.78;19.00;16.32;21.92;30.92;19.36;25.84
Price/Cash Flow;17.33;15.34;18.74;22.32;15.65;13.23;14.86;13.65;13.22;11.02;18.71;13.77;17.36
Price/Book;5.11;5.27;6.42;8.11;6.14;5.69;6.05;6.09;6.54;5.92;8.41;6.11;4.27
Price/Forward Earnings;19.88;17.73;19.57;22.42;15.06;17.01;19.72;15.06;15.22;21.83;21.74;17.68;—
PEG Ratio;0.86;0.81;2.34;8.69;2.82;2.55;1.91;0.84;—;2.49;3.27;2.03;—
Earnings Yield %;3.20;4.71;4.22;3.61;5.54;5.68;4.59;5.26;6.13;4.56;3.23;5.51;—
Enterprise Value (Bil);3.83;4.15;5.49;7.60;5.93;6.00;6.61;6.45;7.23;6.78;9.87;6.62;—
Enterprise Value/EBIT;17.18;12.10;14.09;16.27;10.42;10.46;12.93;11.48;11.64;15.28;31.60;13.10;—
Enterprise Value/EBITDA;13.94;10.60;12.53;14.72;9.54;9.45;11.45;10.27;10.53;13.35;26.38;11.95;—
