Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.73;2.54;3.36;3.47;3.86;4.76;6.17;6.59;5.56;9.01;7.72;6.49;3.07
Price/Earnings;33.16;29.00;37.40;35.59;37.72;45.65;54.74;55.26;52.63;78.14;55.02;57.79;25.84
Price/Cash Flow;22.29;22.72;29.64;25.07;31.35;35.02;39.34;45.56;35.80;47.31;36.79;41.06;17.36
Price/Book;9.95;9.07;10.85;9.81;10.90;12.81;15.59;16.08;13.46;20.59;17.25;16.27;4.27
Price/Forward Earnings;29.59;24.15;28.90;29.41;—;—;—;—;—;—;—;—;—
PEG Ratio;2.96;—;3.45;3.51;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.02;3.45;2.67;2.81;2.65;2.19;1.83;1.81;1.90;1.28;1.82;1.79;—
Enterprise Value (Bil);3.22;3.15;4.30;4.70;5.53;7.22;10.03;11.70;11.28;19.49;17.31;12.17;—
Enterprise Value/EBIT;20.48;17.80;23.17;22.00;23.41;27.92;36.09;38.07;35.90;49.22;40.79;38.71;—
Enterprise Value/EBITDA;16.57;14.61;19.10;18.38;19.70;23.52;30.08;31.42;28.97;40.23;33.56;31.72;—
