Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.98;5.62;5.56;6.42;5.89;5.46;3.48;2.64;4.93;4.16;6.32;4.08;3.01
Price/Earnings;—;—;—;367.20;—;43.57;—;—;11.59;63.25;178.63;42.82;25.53
Price/Cash Flow;11.04;14.78;12.60;16.06;14.94;11.51;7.94;6.68;9.95;9.43;13.79;9.07;17.03
Price/Book;1.25;1.68;1.89;1.90;1.99;1.91;1.24;1.39;1.83;1.20;1.70;1.44;4.19
Price/Forward Earnings;178.57;30.58;32.68;54.05;99.01;—;153.85;—;—;—;—;104.30;—
PEG Ratio;12.61;4.63;4.94;8.17;—;—;—;—;—;—;—;—;—
Earnings Yield %;-5.42;-0.96;-1.69;0.27;-3.64;2.30;-2.93;-19.29;8.63;1.58;-0.13;-1.33;—
Enterprise Value (Bil);7.95;9.61;10.47;12.06;11.69;10.89;7.83;4.91;5.05;4.00;5.05;6.50;—
Enterprise Value/EBIT;51.02;46.27;58.64;40.51;—;51.74;115.77;—;14.45;28.19;52.71;60.84;—
Enterprise Value/EBITDA;20.63;20.95;22.77;16.75;30.57;18.06;18.06;63.12;9.74;12.96;18.77;22.92;—
