Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;1.19;0.68;0.79;0.83;0.84;—;3.07
Price/Earnings;—;—;—;—;—;—;32.85;6.94;22.04;19.17;17.54;—;25.84
Price/Cash Flow;—;—;—;—;—;—;11.14;5.95;6.17;5.78;6.55;—;17.36
Price/Book;—;—;—;—;—;—;3.13;1.61;1.76;1.57;1.85;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;25.38;10.98;16.75;13.79;13.05;17.22;—
PEG Ratio;—;—;—;—;—;—;2.98;0.66;5.09;—;—;—;—
Earnings Yield %;—;—;—;—;—;—;3.04;14.41;4.54;5.22;5.70;6.04;—
Enterprise Value (Bil);—;—;—;—;—;—;5.25;3.32;3.79;3.16;3.68;4.07;—
Enterprise Value/EBIT;—;—;—;—;—;—;19.13;9.47;15.04;11.66;11.85;14.17;—
Enterprise Value/EBITDA;—;—;—;—;—;—;9.55;5.19;6.90;5.67;6.09;7.23;—
