Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.58;0.69;0.92;0.80;0.08;0.58;0.95;0.84;1.49;1.60;1.79;1.05;3.07
Price/Earnings;16.79;—;—;7.57;37.32;—;65.40;12.56;28.27;23.01;26.89;57.99;25.84
Price/Cash Flow;9.19;50.28;70.86;19.02;14.93;33.08;31.35;17.77;13.65;18.39;15.27;29.27;17.36
Price/Book;1.36;1.49;2.12;1.72;1.08;3.64;5.25;3.29;4.88;4.21;4.25;4.12;4.27
Price/Forward Earnings;11.45;13.89;18.55;13.68;3.58;13.21;13.68;10.96;17.39;17.51;24.75;15.04;—
PEG Ratio;0.69;1.36;1.81;1.34;—;—;—;—;—;1.46;1.37;—;—
Earnings Yield %;5.96;-2.31;-1.11;13.21;2.68;-0.08;1.53;7.96;3.54;4.35;3.72;2.73;—
Enterprise Value (Bil);3.88;4.10;5.71;4.46;0.73;1.27;1.62;1.62;2.58;2.85;3.10;1.90;—
Enterprise Value/EBIT;12.42;60.33;79.37;5.52;7.78;41.64;31.98;25.81;23.69;19.98;22.00;25.71;—
Enterprise Value/EBITDA;8.99;22.80;30.60;4.85;3.62;21.13;21.35;17.92;18.24;15.74;16.79;17.62;—
