Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.32;1.39;1.83;2.22;2.38;2.19;2.92;3.39;4.50;5.37;5.79;3.77;3.07
Price/Earnings;14.98;12.49;18.77;31.48;40.29;33.03;52.07;29.04;38.78;38.45;45.28;40.14;25.84
Price/Cash Flow;14.76;9.35;14.59;16.54;20.58;15.61;16.56;19.58;22.76;25.92;26.11;20.50;17.36
Price/Book;2.21;2.20;2.86;3.62;5.93;1.91;2.45;2.90;4.00;4.43;5.38;3.24;4.27
Price/Forward Earnings;12.05;13.12;18.02;22.27;26.67;16.34;19.27;20.20;24.63;27.10;32.36;24.82;—
PEG Ratio;1.26;1.09;1.39;1.71;—;1.17;1.48;1.69;2.44;—;2.70;2.09;—
Earnings Yield %;6.67;8.00;5.33;3.18;2.48;3.03;1.92;3.44;2.58;2.60;2.21;2.60;—
Enterprise Value (Bil);1.80;2.39;3.18;4.34;7.14;6.99;8.59;10.09;14.00;17.03;22.48;11.73;—
Enterprise Value/EBIT;9.56;9.49;14.19;20.33;36.02;24.04;31.57;24.02;31.07;30.40;40.52;29.58;—
Enterprise Value/EBITDA;7.31;7.54;10.63;14.42;24.79;14.20;19.28;16.76;20.58;22.29;29.04;19.44;—
