Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.47;0.45;0.66;0.47;0.42;0.36;0.45;0.36;0.39;0.35;0.53;0.37;3.07
Price/Earnings;22.03;18.75;27.72;17.12;15.24;—;20.07;13.40;13.75;—;119.13;23.87;25.84
Price/Cash Flow;13.64;12.00;16.07;9.05;9.93;6.23;8.87;10.28;8.69;4.85;6.24;7.51;17.36
Price/Book;1.91;1.90;2.81;2.10;2.09;2.04;2.08;1.52;1.50;1.56;2.18;1.71;4.27
Price/Forward Earnings;15.04;16.61;18.52;12.74;12.90;13.93;—;9.27;12.50;18.66;16.69;17.80;—
PEG Ratio;1.00;1.41;1.57;1.08;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.54;5.33;3.61;5.84;6.56;-0.53;4.98;7.46;7.27;-21.24;0.84;0.06;—
Enterprise Value (Bil);0.46;0.50;0.95;1.07;1.17;1.16;1.24;0.96;0.99;0.68;0.95;0.97;—
Enterprise Value/EBIT;10.09;9.04;18.42;14.47;11.77;—;15.00;11.12;12.08;—;139.14;66.78;—
Enterprise Value/EBITDA;7.38;6.75;13.30;10.76;8.35;28.06;9.58;7.48;8.19;—;25.89;14.77;—
