Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.23;4.14;4.61;4.72;4.78;4.41;4.35;4.96;6.03;6.95;8.50;5.35;3.07
Price/Earnings;34.17;24.88;67.37;62.14;29.14;23.96;32.50;20.89;43.28;76.03;214.06;42.41;25.84
Price/Cash Flow;19.58;16.60;18.86;20.68;24.82;20.90;19.33;18.50;31.03;29.23;38.58;23.83;17.36
Price/Book;5.97;11.85;—;—;—;—;—;—;—;—;—;9.55;4.27
Price/Forward Earnings;14.84;15.24;21.69;23.70;22.37;20.58;20.49;20.49;27.17;52.91;39.22;27.73;—
PEG Ratio;0.70;0.99;1.63;1.78;1.40;1.47;1.70;1.44;1.46;7.04;2.30;2.16;—
Earnings Yield %;2.93;4.02;1.48;1.61;3.43;4.17;3.08;4.79;2.31;1.32;0.47;3.01;—
Enterprise Value (Bil);7.59;10.86;13.66;16.98;19.99;21.91;25.38;28.77;45.47;48.98;52.26;33.79;—
Enterprise Value/EBIT;18.31;14.93;18.99;21.33;18.94;17.50;17.63;17.45;23.65;27.69;38.51;20.91;—
Enterprise Value/EBITDA;15.98;13.66;17.23;19.03;17.40;15.95;16.05;16.18;21.16;23.87;32.20;18.75;—
