Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.08;1.14;1.51;1.65;1.39;1.98;2.67;2.67;4.20;4.76;5.16;3.20;3.07
Price/Earnings;14.36;15.03;20.01;18.41;16.13;22.57;30.81;24.62;34.28;38.39;39.56;29.32;25.84
Price/Cash Flow;9.99;12.84;15.31;13.12;13.78;13.97;20.79;17.06;29.40;26.92;24.03;20.76;17.36
Price/Book;1.96;2.11;2.63;2.52;2.21;2.78;3.47;3.37;4.93;4.79;5.89;3.82;4.27
Price/Forward Earnings;13.95;12.05;12.89;14.79;—;—;—;—;—;—;14.58;—;—
PEG Ratio;1.66;1.16;1.24;1.42;—;—;—;—;—;—;1.40;—;—
Earnings Yield %;6.96;6.65;5.00;5.43;6.20;4.43;3.25;4.06;2.92;2.60;2.53;3.51;—
Enterprise Value (Bil);2.28;2.93;4.01;4.22;3.78;4.81;7.53;8.18;13.58;14.93;19.79;9.77;—
Enterprise Value/EBIT;10.41;11.91;16.42;14.52;13.17;17.66;25.95;20.33;28.70;31.46;38.28;24.48;—
Enterprise Value/EBITDA;8.19;9.04;12.03;10.97;9.98;13.36;18.86;15.99;23.21;25.25;31.25;19.44;—
