Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.25;0.44;0.68;0.44;0.30;0.56;1.12;0.44;0.42;0.77;1.05;0.64;3.01
Price/Earnings;150.11;30.89;49.40;12.28;9.78;21.74;—;18.14;23.63;205.24;44.73;51.56;25.53
Price/Cash Flow;—;10.95;15.38;22.93;8.54;9.56;22.79;11.60;11.21;13.32;7.22;22.25;17.03
Price/Book;0.74;1.54;2.20;1.33;1.05;1.76;2.80;1.97;2.42;2.81;3.43;2.30;4.19
Price/Forward Earnings;8.45;10.93;13.91;9.68;9.10;28.65;20.20;7.62;12.95;30.30;21.88;18.62;—
PEG Ratio;0.95;0.17;0.78;1.04;0.74;2.29;—;0.14;1.03;—;—;0.90;—
Earnings Yield %;0.59;3.24;2.02;8.14;10.23;4.60;-4.06;5.51;4.23;0.49;2.24;2.65;—
Enterprise Value (Bil);3.11;4.51;6.15;4.45;3.59;4.75;4.45;2.73;2.93;3.06;3.65;3.43;—
Enterprise Value/EBIT;16.58;14.08;21.47;9.18;10.14;24.55;—;9.46;14.46;50.99;24.79;19.09;—
Enterprise Value/EBITDA;10.12;9.53;13.83;6.98;7.37;15.88;—;7.76;11.46;28.51;18.44;13.29;—
