Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.51;0.55;0.55;0.66;0.63;0.61;0.52;0.48;0.86;1.01;1.27;0.68;3.07
Price/Earnings;12.00;13.15;17.01;31.90;16.10;13.35;13.74;11.02;20.58;23.41;20.13;16.16;25.84
Price/Cash Flow;6.59;6.81;6.08;12.70;7.56;8.80;5.14;5.88;10.22;8.95;11.99;7.58;17.36
Price/Book;2.25;2.35;2.48;2.95;3.37;3.67;3.18;3.11;5.63;6.64;8.15;4.32;4.27
Price/Forward Earnings;11.83;11.36;14.93;24.57;15.50;13.26;14.84;11.70;18.28;20.79;21.98;16.63;—
PEG Ratio;0.99;1.20;1.32;4.50;1.29;1.63;5.88;1.79;1.67;1.79;2.19;3.31;—
Earnings Yield %;8.34;7.61;5.88;3.14;6.21;7.49;7.28;9.08;4.86;4.27;4.97;6.57;—
Enterprise Value (Bil);52.55;54.09;54.07;61.88;55.53;52.17;45.37;47.35;77.88;97.22;129.19;62.32;—
Enterprise Value/EBIT;9.73;10.01;11.01;18.79;11.23;9.01;10.07;11.31;16.85;16.60;14.69;12.77;—
Enterprise Value/EBITDA;7.00;7.14;7.62;10.93;7.77;6.49;6.56;7.12;10.86;11.57;11.43;8.43;—
