Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.08;1.16;1.24;1.13;0.79;0.92;0.37;0.35;0.41;0.36;0.27;0.43;3.01
Price/Earnings;19.19;21.25;30.68;26.62;20.10;29.51;—;—;—;—;—;24.84;25.53
Price/Cash Flow;22.01;21.44;17.32;14.91;14.32;17.63;50.65;252.57;6.94;7.24;6.25;31.85;17.03
Price/Book;2.61;2.81;2.95;2.62;2.06;2.13;0.98;1.01;1.11;1.58;1.19;1.19;4.19
Price/Forward Earnings;16.10;14.49;20.28;—;—;—;—;—;—;—;21.01;—;—
PEG Ratio;0.60;0.97;1.35;—;—;—;—;—;—;—;1.40;—;—
Earnings Yield %;5.21;4.71;3.26;3.76;4.97;3.39;-25.43;-16.65;-4.34;-68.90;-32.77;-28.13;—
Enterprise Value (Bil);0.64;0.85;0.92;0.88;1.00;1.51;0.79;0.80;0.89;0.73;0.60;0.88;—
Enterprise Value/EBIT;12.72;13.34;18.44;16.54;17.24;30.64;—;—;—;—;-7.68;-2.03;—
Enterprise Value/EBITDA;9.59;10.29;13.06;11.76;12.03;19.50;—;—;21.61;—;53.71;25.80;—
