Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.33;2.92;2.46;1.63;1.47;1.06;1.40;0.71;0.80;0.81;0.96;0.96;3.01
Price/Earnings;85.08;11.30;38.14;18.63;16.90;14.22;15.15;6.79;9.80;12.79;13.92;11.84;25.53
Price/Cash Flow;65.06;—;—;20.34;102.20;36.67;8.48;8.43;13.23;5.66;6.05;15.65;17.03
Price/Book;1.31;1.75;1.97;1.56;1.37;1.19;1.62;1.01;1.08;1.11;1.46;1.22;4.19
Price/Forward Earnings;27.47;24.21;22.22;15.70;12.71;9.84;13.26;6.89;10.08;8.84;11.03;9.87;—
PEG Ratio;6.10;80.75;0.62;0.46;0.82;0.44;0.62;0.70;0.77;0.44;0.50;0.66;—
Earnings Yield %;1.18;8.85;2.62;5.37;5.92;7.03;6.60;14.73;10.20;7.82;7.18;9.26;—
Enterprise Value (Bil);3.91;6.50;8.24;8.81;8.67;8.18;9.86;7.31;8.12;8.14;10.17;8.65;—
Enterprise Value/EBIT;—;57.55;30.77;17.44;19.17;16.49;15.16;9.19;11.92;13.81;14.20;14.36;—
Enterprise Value/EBITDA;—;47.96;28.12;16.68;18.22;15.75;14.59;8.91;10.78;12.37;12.91;13.69;—
