Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;9.42;6.51;7.57;9.06;10.25;12.16;13.53;13.46;20.59;21.63;23.06;16.73;3.07
Price/Earnings;—;—;—;121.35;72.97;118.71;44.95;39.08;53.60;49.17;53.52;65.63;25.84
Price/Cash Flow;170.01;20.80;25.95;21.35;24.41;26.33;26.28;27.13;38.23;38.22;42.24;32.24;17.36
Price/Book;0.88;0.99;1.13;1.69;1.41;1.81;1.94;1.84;2.42;2.52;2.76;2.18;4.27
Price/Forward Earnings;-136.99;103.09;117.65;—;—;—;—;50.25;63.69;66.67;68.97;—;—
PEG Ratio;—;—;—;—;—;—;—;5.02;—;—;—;—;—
Earnings Yield %;-2.97;-1.30;-0.56;0.82;1.37;0.84;2.22;2.56;1.87;2.03;1.87;1.83;—
Enterprise Value (Bil);0.19;0.42;0.59;1.08;1.32;1.74;2.27;2.62;4.03;4.30;4.92;3.10;—
Enterprise Value/EBIT;—;95.40;70.41;72.92;52.47;66.09;37.87;37.74;50.09;44.39;49.57;49.96;—
Enterprise Value/EBITDA;42.16;31.26;28.66;33.21;24.37;27.37;23.39;23.83;32.80;30.00;33.84;28.90;—
