Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.34;1.40;1.92;1.22;1.18;1.21;1.41;0.74;0.22;0.99;0.70;0.87;3.07
Price/Earnings;16.61;18.74;19.82;14.58;13.41;13.16;22.80;—;4.11;111.69;7.57;23.36;25.84
Price/Cash Flow;11.90;12.10;16.34;11.32;10.58;10.85;14.12;10.71;3.05;9.18;6.39;9.40;17.36
Price/Book;5.78;7.26;17.49;12.23;22.51;14.05;13.54;—;—;—;10.84;14.70;4.27
Price/Forward Earnings;11.15;10.09;14.66;10.67;11.76;11.70;12.22;6.72;3.06;9.42;7.57;8.73;—
PEG Ratio;0.77;0.82;1.20;0.87;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.02;5.34;5.05;6.86;7.46;7.60;4.39;-11.62;24.36;0.90;13.21;4.85;—
Enterprise Value (Bil);3.73;3.96;5.55;3.97;3.61;3.37;3.87;2.35;1.28;2.26;1.78;2.55;—
Enterprise Value/EBIT;10.99;12.88;14.40;11.30;10.78;10.01;15.55;7.20;5.25;15.26;5.44;10.33;—
Enterprise Value/EBITDA;10.99;11.09;12.70;9.56;9.08;8.51;12.57;7.20;4.27;11.55;4.80;8.70;—
