Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.53;0.68;1.11;1.44;1.38;1.10;1.07;1.03;1.15;1.04;1.10;1.08;3.07
Price/Earnings;11.30;10.67;15.42;22.43;17.75;14.98;15.57;13.08;17.80;13.51;12.83;14.83;25.84
Price/Cash Flow;5.90;5.79;9.20;11.19;10.55;7.94;10.68;8.59;8.99;4.64;6.69;8.34;17.36
Price/Book;1.69;1.74;2.57;3.05;2.84;2.34;2.20;1.99;2.31;1.96;1.98;2.15;4.27
Price/Forward Earnings;8.74;9.93;14.33;17.21;16.10;13.30;14.01;11.33;13.30;12.15;14.18;13.45;—
PEG Ratio;0.91;0.67;0.97;1.38;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.85;9.37;6.49;4.46;5.63;6.67;6.42;7.64;5.62;7.40;7.79;6.86;—
Enterprise Value (Bil);7.40;8.43;11.48;14.40;14.80;13.89;14.73;14.59;16.66;14.53;16.06;15.01;—
Enterprise Value/EBIT;9.03;9.41;11.35;15.21;11.93;10.91;11.86;11.43;14.91;11.25;11.27;12.11;—
Enterprise Value/EBITDA;6.72;7.00;8.56;10.97;9.06;8.24;8.75;8.46;10.43;8.09;8.27;8.83;—
