Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.42;0.49;0.60;0.54;0.24;0.28;0.27;0.05;0.02;0.03;0.08;0.13;3.07
Price/Earnings;26.32;27.07;32.64;29.51;14.58;19.24;19.10;4.73;—;6.55;13.26;13.59;25.84
Price/Cash Flow;—;25.33;74.52;289.72;12.94;8.48;11.60;12.61;1.78;1.62;6.05;7.53;17.36
Price/Book;2.20;2.63;3.30;3.02;1.39;1.55;1.45;0.30;0.42;0.78;1.53;0.97;4.27
Price/Forward Earnings;18.45;21.51;28.25;26.11;13.85;18.48;—;6.02;6.69;4.88;9.53;11.09;—
PEG Ratio;1.26;1.45;2.22;1.74;2.31;3.70;—;1.20;—;—;—;2.32;—
Earnings Yield %;3.80;3.69;3.06;3.39;6.86;5.20;5.24;21.15;-160.84;15.28;7.54;-20.38;—
Enterprise Value (Bil);2.17;2.78;3.99;4.40;2.47;2.99;2.91;4.46;4.66;4.67;5.53;3.55;—
Enterprise Value/EBIT;16.98;17.24;20.36;19.55;10.27;13.39;12.40;28.73;—;16.51;15.85;14.03;—
Enterprise Value/EBITDA;13.20;13.81;16.66;15.90;8.05;10.01;9.04;18.19;—;8.24;8.83;127.42;—
