Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.81;1.68;1.63;1.74;1.97;1.85;2.24;1.94;2.45;3.00;2.99;2.26;3.07
Price/Earnings;—;12.72;13.15;12.44;11.57;9.84;10.26;6.48;11.74;14.27;12.90;10.17;25.84
Price/Cash Flow;5.78;—;0.68;—;—;—;—;1.07;1.87;—;16.28;5.32;17.36
Price/Book;1.79;1.58;1.41;1.37;1.84;1.62;2.00;1.42;1.95;2.53;2.63;1.93;4.27
Price/Forward Earnings;7.41;8.05;11.48;10.96;—;10.65;9.39;—;10.78;—;—;10.72;—
PEG Ratio;0.82;0.80;1.15;1.10;—;—;—;—;—;—;—;—;—
Earnings Yield %;-2.79;7.86;7.61;8.04;8.64;10.16;9.75;15.42;8.52;7.01;7.75;10.22;—
Enterprise Value (Bil);0.32;1.66;0.99;1.54;2.29;2.48;4.86;3.43;3.43;6.15;4.40;3.49;—
Enterprise Value/EBIT;6.32;28.90;13.83;18.27;16.60;14.74;20.43;15.35;13.63;21.89;12.56;14.70;—
Enterprise Value/EBITDA;4.42;14.91;6.54;9.59;9.77;9.07;13.28;9.45;8.56;13.83;8.36;9.27;—
