Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;7.18;7.64;5.59;6.91;6.33;5.70;5.49;5.71;6.39;5.67;8.13;5.79;3.07
Price/Earnings;89.39;130.40;234.49;84.08;26.47;29.62;25.71;144.60;26.99;23.93;45.66;49.43;25.84
Price/Cash Flow;17.94;16.93;16.54;18.52;17.66;14.88;15.49;17.47;20.50;18.66;28.32;17.44;17.36
Price/Book;1.88;1.72;1.47;2.04;1.77;1.76;1.69;1.96;2.20;1.67;2.24;1.84;4.27
Price/Forward Earnings;48.31;26.60;37.74;34.25;47.85;29.94;28.74;44.25;46.73;90.91;113.64;50.24;—
PEG Ratio;6.02;3.79;1.61;1.46;—;3.16;3.01;3.84;4.90;18.46;4.35;6.55;—
Earnings Yield %;1.12;0.78;0.43;1.19;3.78;3.38;3.89;0.69;3.71;4.18;2.19;3.25;—
Enterprise Value (Bil);17.42;24.48;26.81;35.17;36.32;38.27;35.62;40.66;47.43;39.58;48.25;40.04;—
Enterprise Value/EBIT;41.73;44.29;47.47;44.03;32.95;31.32;36.29;51.61;46.07;57.42;122.99;46.53;—
Enterprise Value/EBITDA;21.94;22.22;19.93;20.70;19.02;18.00;18.67;23.20;23.07;22.50;34.15;21.16;—
