Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.01;4.73;5.50;4.90;4.03;4.73;5.03;4.23;5.50;5.57;5.68;4.93;3.01
Price/Earnings;17.68;30.39;26.98;20.40;26.79;58.13;71.69;27.04;139.64;199.54;225.49;72.40;25.53
Price/Cash Flow;—;41.03;53.91;62.07;6.29;38.13;—;16.88;21.91;7.23;29.18;21.50;17.03
Price/Book;3.19;3.59;4.38;3.71;3.25;3.17;3.74;3.28;4.93;4.31;4.73;3.92;4.19
Price/Forward Earnings;12.84;17.33;19.38;17.92;17.33;20.88;22.17;14.49;19.69;24.45;24.69;20.65;—
PEG Ratio;1.00;1.92;2.15;1.98;1.16;1.39;1.48;0.97;1.31;1.63;—;1.34;—
Earnings Yield %;5.66;3.29;3.71;4.90;3.73;1.72;1.39;3.70;0.72;0.50;-2.65;1.34;—
Enterprise Value (Bil);2.40;3.39;4.14;4.39;4.11;6.50;8.23;7.89;11.52;10.48;11.17;8.85;—
Enterprise Value/EBIT;11.77;15.64;16.46;14.16;14.89;30.79;34.25;22.29;39.05;64.13;71.20;32.89;—
Enterprise Value/EBITDA;9.55;11.61;12.96;11.64;11.33;19.95;18.66;14.18;22.18;24.83;69.59;39.24;—
