Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.89;2.97;3.69;4.44;2.58;3.20;3.08;2.23;3.47;3.15;3.87;3.05;3.07
Price/Earnings;19.54;30.84;43.83;16.89;61.19;—;53.49;8.86;—;105.53;28.21;66.79;25.84
Price/Cash Flow;6.41;12.15;11.60;19.64;6.24;8.74;7.25;7.30;7.85;7.22;8.99;7.65;17.36
Price/Book;2.47;4.69;5.32;3.68;2.61;4.81;3.11;1.71;2.12;2.02;2.79;2.76;4.27
Price/Forward Earnings;18.90;21.83;30.67;44.44;18.69;24.69;27.62;19.69;22.17;15.90;22.17;24.70;—
PEG Ratio;0.80;—;5.95;2.32;—;—;11.89;—;—;0.74;2.51;—;—
Earnings Yield %;5.12;3.51;2.28;5.92;1.63;-4.82;1.87;11.29;-0.13;0.95;3.54;1.78;—
Enterprise Value (Bil);27.85;32.19;36.34;54.21;42.84;48.02;45.10;48.94;50.79;46.67;54.70;48.23;—
Enterprise Value/EBIT;12.70;17.90;21.74;13.57;28.46;—;20.41;29.82;33.84;35.57;19.56;32.91;—
Enterprise Value/EBITDA;7.33;12.60;14.60;10.84;13.51;70.00;11.40;14.57;15.82;15.37;12.08;26.15;—
