Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.13;1.15;1.34;1.57;1.10;0.86;0.87;0.76;0.99;1.27;1.75;1.02;3.07
Price/Earnings;18.25;18.55;20.89;24.81;17.33;14.49;14.73;15.38;17.12;14.95;14.61;16.22;25.84
Price/Cash Flow;13.26;12.61;12.86;17.05;12.54;7.59;8.74;7.43;11.79;6.46;8.75;8.91;17.36
Price/Book;3.17;3.52;4.70;6.13;4.70;3.67;3.71;3.70;5.03;5.56;8.39;4.57;4.27
Price/Forward Earnings;15.06;14.90;19.42;23.58;17.06;13.23;13.26;11.17;14.77;14.04;14.73;14.77;—
PEG Ratio;1.31;1.06;1.32;1.68;1.34;1.47;1.25;0.98;1.50;1.17;1.55;1.67;—
Earnings Yield %;5.48;5.39;4.79;4.03;5.77;6.90;6.79;6.50;5.84;6.69;6.84;6.29;—
Enterprise Value (Bil);3.59;4.03;5.37;6.95;5.38;4.30;4.43;4.24;7.29;8.57;12.71;6.16;—
Enterprise Value/EBIT;9.74;10.19;12.07;14.42;10.67;8.97;9.41;9.77;15.74;12.03;11.17;11.78;—
Enterprise Value/EBITDA;7.13;7.67;9.07;10.84;8.02;6.62;6.80;6.81;11.19;9.52;9.57;8.61;—
