Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.17;1.46;1.77;1.73;1.69;1.99;1.66;1.38;2.17;1.88;1.98;1.78;3.07
Price/Earnings;12.26;8.05;11.42;12.10;11.06;13.16;40.45;—;10.30;12.91;12.85;19.09;25.84
Price/Cash Flow;10.06;6.97;8.63;9.25;8.69;9.95;14.10;9.36;12.06;10.98;10.24;11.06;17.36
Price/Book;22.53;8.28;9.01;7.92;6.68;7.54;12.30;—;—;134.45;43.51;53.68;4.27
Price/Forward Earnings;10.20;8.58;11.07;11.07;10.29;12.48;10.19;8.70;13.53;10.94;11.35;11.22;—
PEG Ratio;0.86;1.07;1.68;1.69;2.66;5.31;1.41;—;1.84;0.92;1.26;1.85;—
Earnings Yield %;8.16;12.42;8.75;8.26;9.05;7.60;2.47;-5.74;9.71;7.75;7.78;4.88;—
Enterprise Value (Bil);9.86;7.95;9.41;9.10;8.81;10.20;8.75;7.52;10.96;8.28;8.88;9.07;—
Enterprise Value/EBIT;7.09;5.90;8.04;8.20;7.94;9.44;20.24;12.20;7.25;8.44;9.15;11.82;—
Enterprise Value/EBITDA;6.27;4.99;6.58;6.61;6.38;7.57;12.59;8.56;6.19;6.80;7.46;8.51;—
