Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.34;2.62;3.51;4.16;3.52;2.75;3.16;2.67;3.86;4.52;4.79;3.44;3.07
Price/Earnings;15.99;15.54;23.59;24.39;102.59;56.39;37.71;12.07;—;—;59.76;97.26;25.84
Price/Cash Flow;9.18;10.19;15.54;19.53;23.77;14.61;13.58;11.99;19.86;26.53;33.92;17.71;17.36
Price/Book;1.70;1.95;2.58;2.94;2.08;2.12;2.34;1.73;2.55;2.69;2.73;2.32;4.27
Price/Forward Earnings;10.22;11.43;14.56;17.36;13.66;11.89;14.33;13.23;18.05;19.49;21.23;17.01;—
PEG Ratio;0.97;1.68;1.86;1.73;1.72;1.57;2.02;2.69;2.88;39.78;1.64;7.40;—
Earnings Yield %;6.25;6.44;4.24;4.10;0.97;1.77;2.65;8.28;-0.32;-0.49;1.67;2.38;—
Enterprise Value (Bil);10.14;11.67;16.00;19.18;30.90;31.76;34.35;29.81;38.66;39.31;41.12;34.83;—
Enterprise Value/EBIT;8.36;10.98;17.08;17.18;71.93;36.94;35.89;38.54;—;1,288.79;61.98;226.27;—
Enterprise Value/EBITDA;6.46;8.18;12.35;12.87;32.52;16.45;17.11;16.35;38.63;37.38;24.02;24.65;—
