Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;3.65;4.57;5.01;5.47;6.95;7.30;10.39;12.12;12.91;8.51;3.07
Price/Earnings;—;—;42.02;38.42;54.45;38.51;37.92;35.94;43.82;47.69;51.02;41.36;25.84
Price/Cash Flow;—;—;23.59;40.17;31.16;37.91;34.79;23.04;35.56;39.83;42.75;34.21;17.36
Price/Book;—;—;19.39;15.82;19.39;16.65;17.61;19.37;23.50;21.84;21.98;21.06;4.27
Price/Forward Earnings;—;—;20.37;25.77;24.51;22.83;26.18;24.45;32.79;38.02;42.19;30.51;—
PEG Ratio;—;—;1.50;2.44;2.52;1.13;1.76;1.75;2.62;3.76;3.42;2.60;—
Earnings Yield %;—;—;2.38;2.60;1.84;2.60;2.64;2.78;2.28;2.10;1.96;2.46;—
Enterprise Value (Bil);—;—;19.61;24.63;26.88;30.25;38.83;46.07;67.73;82.87;93.62;53.51;—
Enterprise Value/EBIT;—;—;26.90;27.12;35.98;24.61;26.02;24.26;33.73;36.96;38.67;29.20;—
Enterprise Value/EBITDA;—;—;21.22;22.05;28.47;20.71;22.39;21.24;28.08;30.89;32.72;24.74;—
