Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.52;0.48;0.55;0.70;1.10;1.18;1.05;0.74;0.81;0.70;0.76;0.91;1.76
Price/Earnings;13.41;16.50;17.15;14.58;23.44;19.56;19.93;17.74;19.53;23.70;20.02;20.31;17.62
Price/Cash Flow;12.86;11.95;7.92;10.69;12.66;16.15;9.57;22.07;13.48;8.84;22.68;13.82;9.46
Price/Book;3.81;4.58;5.48;5.90;8.97;9.10;7.57;7.73;9.90;7.81;7.44;8.48;2.05
Price/Forward Earnings;9.92;—;—;—;—;—;—;—;—;—;26.18;—;—
PEG Ratio;2.38;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.45;—;—;—;—;5.11;5.02;—;—;—;4.99;4.96;—
Enterprise Value (Bil);3.02;—;—;—;—;14.09;12.30;—;—;—;20.83;15.51;—
Enterprise Value/EBIT;9.55;—;—;—;—;11.86;13.43;—;—;—;13.28;13.46;—
Enterprise Value/EBITDA;7.47;—;—;—;—;10.36;11.40;—;—;—;9.71;10.84;—
