Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.87;1.89;2.03;2.27;2.18;2.20;2.15;2.30;2.73;2.99;3.44;2.43;1.50
Price/Earnings;17.80;17.98;19.79;20.95;19.76;21.21;21.97;20.05;27.93;28.14;28.93;23.18;24.83
Price/Cash Flow;11.53;10.68;11.29;12.50;13.14;11.89;10.75;10.49;12.15;12.96;13.55;11.32;11.13
Price/Book;3.02;2.90;3.21;3.39;3.01;3.42;2.86;2.83;3.39;3.46;3.79;3.00;1.87
Price/Forward Earnings;16.61;19.88;19.27;18.35;18.18;19.23;20.08;19.01;23.04;24.10;26.32;21.48;—
PEG Ratio;2.23;3.45;2.46;1.63;1.67;2.31;1.86;2.45;2.07;2.36;2.64;2.45;—
Earnings Yield %;5.62;5.56;5.05;4.77;5.06;4.71;4.55;4.99;3.58;3.55;3.46;4.39;—
Enterprise Value (Bil);31.89;35.58;38.76;42.12;43.41;57.14;60.35;60.51;74.40;77.77;81.89;64.42;—
Enterprise Value/EBIT;14.04;14.26;15.46;16.27;15.48;20.98;17.92;20.55;21.47;21.73;22.56;19.91;—
Enterprise Value/EBITDA;9.33;9.55;10.31;11.02;10.54;13.85;11.73;12.87;13.74;13.55;14.20;12.73;—
