Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.71;0.93;0.88;0.96;0.30;0.32;0.45;0.42;0.64;0.76;1.04;0.54;1.50
Price/Earnings;5.21;7.24;11.05;8.18;4.11;1.65;6.00;4.39;3.97;9.51;8.90;6.18;24.83
Price/Cash Flow;4.39;6.16;5.52;8.01;5.07;10.91;12.44;1.93;19.68;5.85;5.77;8.77;11.13
Price/Book;0.86;0.99;0.98;0.96;0.32;0.38;1.25;0.84;0.70;1.25;1.97;0.96;1.87
Price/Forward Earnings;—;6.58;5.62;—;—;—;—;—;—;—;—;—;—
PEG Ratio;—;2.27;1.94;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;19.19;13.81;9.05;12.23;24.35;60.57;16.67;22.77;25.20;10.52;11.24;22.73;—
Enterprise Value (Mil);37.12;42.13;37.33;37.41;1.80;2.81;7.48;1.63;2.86;10.44;16.40;6.24;—
Enterprise Value/EBIT;3.16;4.08;3.70;4.37;0.39;0.27;1.60;0.34;0.94;6.21;5.98;2.36;—
Enterprise Value/EBITDA;3.08;3.86;3.53;4.12;0.34;0.25;1.53;0.31;0.84;4.50;5.28;1.85;—
