Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.08;0.99;0.90;1.17;1.02;0.71;0.82;0.25;0.19;—;0.08;0.57;1.50
Price/Earnings;565.00;—;—;89.25;31.76;47.88;—;—;—;—;—;290.31;24.83
Price/Cash Flow;23.44;—;—;12.78;48.09;16.35;—;5.54;—;—;6.94;18.86;11.13
Price/Book;1.86;2.66;2.52;3.28;2.86;2.19;2.17;1.20;1.10;—;0.57;1.80;1.87
Price/Forward Earnings;—;21.51;27.62;—;—;—;—;—;—;—;—;—;—
PEG Ratio;—;0.10;0.12;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;0.18;-3.37;-1.59;1.12;3.15;2.09;-2.83;-62.79;-27.68;—;-228.46;-38.59;—
Enterprise Value (Mil);175.34;235.11;235.55;282.00;278.49;220.27;226.77;109.16;135.81;—;101.77;168.25;—
Enterprise Value/EBIT;195.80;—;—;39.53;20.13;28.49;405.53;—;—;—;-15.58;83.33;—
Enterprise Value/EBITDA;195.80;—;66.86;23.49;15.74;18.61;44.71;—;30.44;—;25.47;22.59;—
