Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.28;4.99;5.16;5.16;3.71;4.14;4.48;5.62;7.46;7.31;8.11;5.86;1.50
Price/Earnings;33.37;29.13;32.44;33.76;22.96;26.16;24.93;30.58;40.44;42.19;49.92;33.32;24.83
Price/Cash Flow;16.28;15.22;11.61;12.09;12.34;14.02;15.09;13.62;18.19;18.19;16.55;15.98;11.13
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;1.87
Price/Forward Earnings;20.20;28.33;24.33;23.64;19.12;18.45;22.37;25.25;29.59;34.48;38.91;27.92;—
PEG Ratio;1.33;1.89;1.48;1.38;1.70;2.07;1.88;2.98;2.20;4.53;2.65;2.73;—
Earnings Yield %;3.00;3.43;3.08;2.96;4.36;3.82;4.01;3.27;2.47;2.37;2.00;3.10;—
Enterprise Value (Bil);3.98;5.17;5.88;5.80;4.78;5.41;6.61;8.69;12.68;12.96;13.21;9.22;—
Enterprise Value/EBIT;14.38;14.81;17.29;18.83;14.18;17.64;15.30;19.44;26.36;26.56;29.62;20.89;—
Enterprise Value/EBITDA;12.89;14.81;17.29;18.83;14.18;17.41;13.38;16.36;21.63;21.18;22.93;17.69;—
