Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;2.80;1.05;2.93;0.30;0.99;1.48;1.90;2.88;4.60;3.14;2.69;1.50
Price/Earnings;—;10.00;2.34;7.00;—;6.33;2.35;1.77;11.00;13.50;9.95;6.34;24.83
Price/Cash Flow;—;—;—;3.62;—;2.18;7.05;—;—;—;62.33;8.38;11.13
Price/Book;—;2.57;1.11;1.90;0.18;1.07;0.69;0.50;0.61;0.70;0.93;0.79;1.87
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;14.31;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;—;7.15;—;—
Earnings Yield %;—;10.00;42.73;14.29;-200.00;15.79;42.49;56.44;9.09;7.41;10.05;25.52;—
Enterprise Value (Mil);—;26.75;26.08;35.41;16.60;28.96;29.26;23.43;25.22;28.74;37.17;28.59;—
Enterprise Value/EBIT;—;13.93;6.26;10.70;—;9.22;3.27;3.65;355.24;13.17;10.44;41.39;—
Enterprise Value/EBITDA;—;13.87;6.24;10.39;1,844.96;5.22;3.23;3.59;146.64;12.60;7.92;20.02;—
