Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.12;0.21;0.26;0.26;0.39;0.45;0.59;0.45;0.55;0.44;0.50;0.51;1.50
Price/Earnings;8.13;13.27;16.10;14.04;19.14;17.12;16.95;12.14;14.21;18.25;22.44;15.97;24.83
Price/Cash Flow;2.04;2.84;6.89;3.60;4.50;4.84;8.17;5.29;5.28;3.63;3.82;5.53;11.13
Price/Book;0.66;1.24;1.53;1.35;1.77;1.89;2.26;1.59;2.08;1.51;1.61;1.89;1.87
Price/Forward Earnings;6.77;8.67;8.94;10.72;12.99;14.45;15.08;10.04;12.09;10.82;14.06;14.08;—
PEG Ratio;22.58;1.22;1.26;1.51;—;—;—;—;—;—;—;—;—
Earnings Yield %;12.30;7.54;6.21;7.12;5.22;5.84;5.90;8.24;7.04;5.48;4.46;6.50;—
Enterprise Value (Bil);16.04;16.62;17.94;17.19;18.29;18.60;20.56;18.13;21.48;19.43;19.66;19.57;—
Enterprise Value/EBIT;15.37;14.35;15.50;13.42;14.06;13.17;13.12;10.34;11.57;14.17;16.26;12.40;—
Enterprise Value/EBITDA;8.58;8.36;9.00;8.06;8.46;8.40;8.57;6.94;7.70;7.70;8.03;7.80;—
