Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.60;0.59;1.00;0.95;0.90;1.07;1.28;0.67;0.93;0.71;1.15;0.94;1.50
Price/Earnings;8.87;11.28;16.02;16.24;15.12;16.57;20.05;11.52;22.59;21.90;27.72;17.85;24.83
Price/Cash Flow;5.49;5.37;8.76;10.10;8.77;8.98;10.20;5.57;13.55;4.59;7.81;8.32;11.13
Price/Book;1.04;1.12;1.88;1.73;1.75;1.98;2.38;1.19;1.69;1.04;1.46;1.66;1.87
Price/Forward Earnings;8.93;9.78;12.32;11.76;13.09;12.74;12.42;6.37;13.42;8.36;11.33;11.29;—
PEG Ratio;0.86;0.72;0.91;0.87;—;—;—;—;—;—;—;—;—
Earnings Yield %;11.27;8.87;6.24;6.16;6.61;6.04;4.99;8.68;4.43;4.57;-2.60;5.53;—
Enterprise Value (Bil);0.52;0.79;1.21;1.35;1.50;1.88;2.33;1.38;1.99;1.30;1.67;1.79;—
Enterprise Value/EBIT;5.70;8.57;11.19;11.45;11.38;12.50;14.09;11.41;21.33;17.60;21.05;14.75;—
Enterprise Value/EBITDA;3.80;5.22;7.15;7.42;7.37;8.31;9.27;6.43;9.79;6.76;21.21;8.46;—
