Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;9.41;10.89;11.68;11.29;12.71;11.94;12.96;14.55;17.49;15.62;22.35;14.52;1.50
Price/Earnings;10.21;5.78;8.35;8.19;7.66;3.78;4.40;5.54;8.43;6.67;14.21;5.92;24.83
Price/Cash Flow;18.38;36.92;43.71;27.05;32.20;24.78;26.02;22.36;27.67;25.26;38.13;25.31;11.13
Price/Book;0.81;0.77;0.81;0.73;0.82;0.76;0.73;0.73;0.83;0.67;0.88;0.74;1.87
Price/Forward Earnings;15.90;8.29;11.09;25.32;23.47;17.67;18.90;-11.90;28.09;232.56;38.61;41.74;—
PEG Ratio;—;2.07;2.77;6.33;—;—;—;—;—;—;—;—;—
Earnings Yield %;9.79;17.30;11.97;12.21;13.06;26.44;22.71;18.04;11.86;15.00;7.04;18.45;—
Enterprise Value (Bil);1.54;3.25;3.23;3.30;3.85;4.21;4.55;4.57;5.23;4.92;6.02;4.67;—
Enterprise Value/EBIT;6.54;8.68;10.19;9.94;9.67;5.81;6.52;7.01;10.23;9.80;18.73;8.13;—
Enterprise Value/EBITDA;6.53;8.66;10.16;9.91;9.65;5.80;6.50;7.00;10.20;9.77;18.68;8.11;—
