Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;7.05;8.23;9.30;9.15;10.54;15.86;20.49;11.27;12.90;11.88;11.72;13.83;1.50
Price/Earnings;3.33;20.23;17.27;34.57;12.83;5.26;6.17;8.01;8.96;8.88;61.93;10.13;24.83
Price/Cash Flow;7.31;11.61;12.30;14.35;17.72;18.94;23.15;15.46;23.09;17.63;18.99;19.59;11.13
Price/Book;0.64;0.83;0.96;1.05;1.09;1.04;1.25;0.75;1.02;0.74;0.77;0.90;1.87
Price/Forward Earnings;13.39;16.56;18.02;19.42;19.05;23.81;26.81;10.85;24.15;—;23.04;22.94;—
PEG Ratio;6.69;9.19;10.02;10.78;—;—;—;—;—;—;—;—;—
Earnings Yield %;30.02;4.94;5.79;2.89;7.80;19.01;16.20;12.49;11.16;11.27;1.61;13.58;—
Enterprise Value (Bil);9.13;9.58;10.09;10.32;10.95;12.92;15.18;16.65;19.74;16.42;16.68;15.92;—
Enterprise Value/EBIT;8.06;22.62;19.58;28.43;16.07;7.65;9.00;13.94;13.80;14.28;69.67;14.57;—
Enterprise Value/EBITDA;8.03;22.35;19.28;27.90;15.89;7.63;8.90;13.64;13.69;13.94;51.48;13.52;—
