Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.48;0.37;1.30;1.08;1.39;0.97;0.80;0.40;0.75;0.69;0.91;0.79;1.50
Price/Earnings;20.35;25.91;64.41;34.50;338.22;1,006.19;—;—;—;—;511.43;973.08;24.83
Price/Cash Flow;16.79;8.23;16.22;42.12;39.37;—;722.87;10.56;100.77;5.89;5.63;181.37;11.13
Price/Book;2.63;1.53;6.11;4.41;5.35;4.40;2.15;1.21;2.59;2.42;2.85;2.65;1.87
Price/Forward Earnings;—;5.23;28.49;—;—;—;—;—;—;—;—;—;—
PEG Ratio;—;0.10;0.55;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.91;3.86;1.55;2.90;0.30;0.10;-0.20;-14.07;-0.15;-3.74;-2.30;-2.49;—
Enterprise Value (Mil);118.42;87.84;292.50;257.69;367.33;337.54;221.03;122.92;291.10;266.09;326.45;259.01;—
Enterprise Value/EBIT;10.96;241.32;40.02;16.13;45.22;40.30;32.70;—;46.26;—;32.14;46.59;—
Enterprise Value/EBITDA;7.02;13.52;20.94;11.24;22.26;17.80;11.66;614.62;11.37;24.64;33.01;113.73;—
