Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.08;5.79;6.54;7.13;10.36;9.57;9.32;6.50;8.04;3.66;5.78;7.17;1.50
Price/Earnings;31.49;33.36;48.12;9.66;—;—;9.65;6.37;25.84;—;14.01;12.11;24.83
Price/Cash Flow;5.20;6.98;7.74;8.86;12.94;12.51;11.64;7.88;9.73;6.89;7.72;9.31;11.13
Price/Book;1.82;2.65;3.33;2.82;1.99;2.18;1.13;0.78;1.00;0.60;0.75;1.05;1.87
Price/Forward Earnings;10.42;25.84;31.75;20.12;24.75;33.90;14.95;10.17;—;6.95;11.06;16.58;—
PEG Ratio;2.22;11.75;14.42;9.15;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.18;3.00;2.08;10.36;-0.24;-4.02;10.36;15.69;3.87;-0.16;-12.82;5.51;—
Enterprise Value (Bil);4.04;13.40;14.22;12.91;22.67;21.00;20.59;17.33;19.14;14.88;15.66;18.19;—
Enterprise Value/EBIT;10.74;20.28;24.37;10.14;65.87;—;10.66;9.19;27.20;128.23;135.68;34.70;—
Enterprise Value/EBITDA;10.74;12.76;14.01;7.87;28.29;59.13;10.54;9.11;26.52;106.86;113.07;35.29;—
