Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.47;2.73;3.37;3.99;3.92;4.08;3.88;4.82;5.19;4.35;4.08;4.42;3.01
Price/Earnings;27.74;19.42;33.22;31.72;14.66;29.70;53.78;59.48;25.66;17.87;27.88;41.32;25.53
Price/Cash Flow;9.30;12.87;14.34;14.27;22.25;14.97;25.45;17.72;19.51;18.66;17.30;18.97;17.03
Price/Book;2.10;2.39;3.06;3.66;3.33;3.66;3.94;5.95;8.69;7.02;7.26;5.97;4.19
Price/Forward Earnings;—;11.29;14.18;16.72;14.56;14.90;14.08;15.63;16.18;12.53;12.21;14.95;—
PEG Ratio;—;—;39.42;4.62;3.73;3.33;3.57;2.29;1.43;1.24;1.60;2.41;—
Earnings Yield %;3.60;4.77;3.01;3.15;6.82;3.37;1.86;1.68;3.90;5.60;3.59;3.20;—
Enterprise Value (Bil);90.70;97.04;112.23;143.64;147.70;164.96;141.65;184.81;222.28;185.66;184.25;177.91;—
Enterprise Value/EBIT;20.31;13.58;24.05;23.40;9.46;23.21;41.96;24.20;20.49;15.84;23.80;24.19;—
Enterprise Value/EBITDA;8.89;7.81;11.80;12.02;6.89;13.05;19.45;15.91;15.69;12.63;16.95;16.57;—
