Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.77;0.94;1.29;1.27;1.29;1.39;1.40;0.68;0.66;0.86;0.88;1.00;1.50
Price/Earnings;9.80;11.78;15.79;14.27;17.73;68.63;15.69;8.61;—;621.35;52.88;84.28;24.83
Price/Cash Flow;6.35;7.70;10.82;10.37;10.32;10.27;10.11;4.83;6.28;5.38;6.26;7.36;11.13
Price/Book;1.28;1.61;2.13;2.02;1.76;2.20;2.23;1.16;0.95;1.09;1.16;1.52;1.87
Price/Forward Earnings;9.17;10.82;14.43;13.26;13.16;—;—;—;—;—;—;—;—
PEG Ratio;2.32;1.43;1.91;1.75;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.20;8.49;6.33;7.01;5.64;1.46;6.37;11.61;-8.05;0.16;1.89;1.99;—
Enterprise Value (Bil);3.77;4.50;5.87;5.51;6.61;7.27;7.74;5.66;4.77;4.97;4.89;6.07;—
Enterprise Value/EBIT;8.41;9.36;—;—;14.31;—;—;9.63;—;53.48;30.48;17.15;—
Enterprise Value/EBITDA;5.75;6.47;—;—;9.66;—;—;9.63;—;53.48;30.48;15.99;—
