Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.50;1.17;1.33;1.35;2.03;1.97;1.91;1.51;1.26;1.34;1.41;1.62;1.50
Price/Earnings;14.04;12.40;18.08;28.65;65.80;26.53;30.40;22.48;37.22;10.48;11.81;25.19;24.83
Price/Cash Flow;9.34;11.10;13.76;9.15;10.53;48.08;16.81;9.51;8.33;8.73;10.90;17.57;11.13
Price/Book;1.22;0.95;1.11;1.01;1.47;1.36;1.24;0.98;0.88;0.74;0.74;1.05;1.87
Price/Forward Earnings;12.21;9.52;14.99;11.76;21.01;—;—;—;—;—;—;—;—
PEG Ratio;6.11;1.55;2.44;1.91;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.12;8.06;5.53;3.49;1.52;3.77;3.29;4.45;2.69;9.54;8.47;4.71;—
Enterprise Value (Mil);470.80;389.27;481.46;415.00;614.48;597.27;535.93;373.72;358.72;231.98;226.61;425.26;—
Enterprise Value/EBIT;8.28;6.18;8.81;8.68;38.98;15.79;20.01;10.97;13.63;4.52;5.06;13.02;—
Enterprise Value/EBITDA;6.15;4.48;5.62;5.80;15.58;9.27;11.06;6.76;6.76;2.77;2.95;7.40;—
