Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.72;0.51;0.55;0.93;1.04;0.92;0.91;0.91;0.84;0.56;0.61;0.84;1.50
Price/Earnings;10.28;26.90;29.03;24.40;40.75;16.98;144.75;20.82;18.48;9.93;5.59;36.38;24.83
Price/Cash Flow;2.47;2.20;2.38;5.32;4.58;4.06;3.89;3.92;3.68;2.31;2.02;3.56;11.13
Price/Book;1.13;0.90;0.97;1.41;1.37;1.22;1.27;1.24;1.15;0.81;0.74;1.13;1.87
Price/Forward Earnings;8.03;5.19;8.08;15.17;15.97;11.27;16.21;13.61;12.56;9.23;9.48;12.17;—
PEG Ratio;—;3.49;5.42;4.74;31.34;10.25;7.44;6.02;17.20;1.74;—;10.09;—
Earnings Yield %;9.72;3.72;3.44;4.10;2.45;5.89;0.69;4.80;5.41;10.07;17.88;5.92;—
Enterprise Value (Bil);27.06;13.45;15.17;31.09;34.82;30.96;29.76;29.90;29.27;19.69;19.32;28.86;—
Enterprise Value/EBIT;3.87;3.25;3.67;6.32;7.75;6.83;8.84;6.26;5.96;3.42;3.56;6.16;—
Enterprise Value/EBITDA;1.96;1.29;1.45;2.83;3.29;2.76;2.93;2.55;2.32;1.39;1.38;2.35;—
