Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.23;3.52;2.62;2.85;3.23;3.81;5.36;4.69;5.13;8.57;9.73;5.53;1.50
Price/Earnings;26.88;26.86;26.87;47.32;33.51;36.33;43.58;35.59;36.87;91.20;103.59;48.29;24.83
Price/Cash Flow;27.63;27.02;43.19;163.30;33.22;46.46;38.42;61.49;35.31;77.87;88.46;57.65;11.13
Price/Book;3.06;3.90;2.75;2.60;2.99;3.39;4.32;3.34;3.94;5.22;5.92;4.17;1.87
Price/Forward Earnings;18.66;21.74;22.99;27.32;30.30;27.25;33.22;25.19;25.91;44.64;54.95;36.84;—
PEG Ratio;1.16;0.99;1.05;1.25;—;—;—;—;—;2.54;3.11;—;—
Earnings Yield %;3.72;3.72;3.72;2.11;2.98;2.75;2.29;2.81;2.71;1.10;0.97;2.28;—
Enterprise Value (Bil);3.18;4.35;3.32;3.16;3.66;4.46;6.20;5.19;5.91;8.08;9.09;6.10;—
Enterprise Value/EBIT;18.53;18.76;14.25;27.21;23.14;23.31;28.01;23.50;24.05;52.11;58.66;30.34;—
Enterprise Value/EBITDA;17.12;17.60;13.28;23.54;20.68;21.22;25.52;21.05;21.34;42.60;47.96;26.66;—
