Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.18;0.27;0.39;0.41;0.58;0.48;0.41;0.25;0.21;0.21;0.22;0.31;1.50
Price/Earnings;1.89;6.26;14.99;12.80;10.01;7.88;5.35;3.19;4.96;—;1.90;5.42;24.83
Price/Cash Flow;2.67;2.86;3.44;6.54;5.32;4.00;3.82;2.34;1.84;8.00;1.65;3.44;11.13
Price/Book;0.35;0.49;0.74;0.75;1.01;0.84;0.77;0.47;0.34;0.40;0.41;0.55;1.87
Price/Forward Earnings;3.90;5.39;7.15;6.80;7.27;5.80;4.98;3.50;4.13;24.75;18.52;7.49;—
PEG Ratio;0.46;3.82;0.46;—;2.17;—;—;—;—;0.49;—;—;—
Earnings Yield %;53.02;15.98;6.67;7.81;9.99;12.70;18.70;31.31;20.15;-86.69;-84.11;-5.36;—
Enterprise Value (Bil);28.79;33.19;39.36;40.65;52.26;52.97;58.02;53.23;52.71;55.35;52.26;54.10;—
Enterprise Value/EBIT;6.87;12.09;18.87;17.83;15.84;13.04;9.77;8.86;14.61;—;26.16;12.49;—
Enterprise Value/EBITDA;4.06;5.48;7.29;7.60;8.91;7.76;6.50;5.89;7.42;—;8.58;6.98;—
