Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.26;2.66;3.07;2.98;2.77;3.07;2.50;2.67;3.04;2.63;3.00;2.77;1.50
Price/Earnings;15.94;18.99;32.96;24.49;19.60;24.62;19.88;23.59;35.50;8.89;9.13;22.43;24.83
Price/Cash Flow;8.25;11.72;17.50;13.39;12.04;12.24;11.67;14.33;16.15;11.67;14.86;13.46;11.13
Price/Book;1.45;1.67;1.82;1.93;1.81;1.81;1.56;1.68;1.99;1.55;1.75;1.70;1.87
Price/Forward Earnings;9.51;13.85;19.01;18.87;13.97;13.95;12.36;13.07;14.03;12.20;14.20;13.39;—
PEG Ratio;16.12;19.52;6.84;5.02;3.24;13.29;10.04;4.89;2.34;3.01;4.13;5.18;—
Earnings Yield %;6.27;5.24;3.03;4.08;5.10;4.06;5.03;4.24;2.82;11.25;10.96;5.36;—
Enterprise Value (Bil);90.02;103.82;112.53;110.25;112.43;110.18;97.97;115.68;132.32;107.39;119.34;111.82;—
Enterprise Value/EBIT;17.45;16.15;27.05;18.32;15.75;20.34;14.56;20.04;41.22;8.80;8.38;20.16;—
Enterprise Value/EBITDA;10.07;9.16;15.65;12.88;11.73;15.72;11.44;14.93;24.15;6.00;7.53;12.83;—
