Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.38;0.39;0.50;0.47;0.54;0.63;0.64;0.39;0.47;0.48;0.80;0.53;1.50
Price/Earnings;8.19;22.22;33.04;20.48;26.93;52.06;17.48;7.95;—;14.53;66.52;26.88;24.83
Price/Cash Flow;6.70;6.65;11.33;15.15;8.43;9.61;10.60;7.18;7.32;5.37;6.47;8.14;11.13
Price/Book;0.89;0.97;1.25;1.10;1.14;1.36;1.37;0.85;1.09;1.02;1.67;1.16;1.87
Price/Forward Earnings;8.72;10.46;14.56;15.15;17.64;16.10;13.85;7.72;10.46;11.34;13.97;12.92;—
PEG Ratio;2.36;1.43;2.00;2.08;—;1.10;0.87;2.00;2.78;—;1.45;2.84;—
Earnings Yield %;12.20;4.50;3.03;4.88;3.71;1.92;5.72;12.58;-0.55;6.88;1.50;5.03;—
Enterprise Value (Bil);24.80;25.43;31.49;28.21;30.26;30.66;31.93;25.01;32.21;30.02;36.79;29.57;—
Enterprise Value/EBIT;9.04;10.86;13.21;11.63;12.71;19.30;11.99;8.07;28.79;10.81;23.27;14.67;—
Enterprise Value/EBITDA;5.45;5.87;7.43;6.11;7.36;8.40;7.86;5.25;7.58;5.98;8.20;6.83;—
