Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.31;0.31;0.81;0.75;0.42;0.56;0.97;0.43;0.46;0.40;0.55;0.57;1.50
Price/Earnings;7.29;5.03;12.83;12.78;19.15;19.02;24.12;14.06;15.03;—;7.02;17.99;24.83
Price/Cash Flow;18.49;5.72;8.33;27.25;12.39;101.78;13.69;16.31;18.64;3.39;2.60;25.33;11.13
Price/Book;1.42;1.12;3.05;2.52;1.59;1.99;3.42;1.36;1.77;1.54;1.68;1.92;1.87
Price/Forward Earnings;8.46;7.51;20.96;—;—;—;—;—;—;—;—;—;—
PEG Ratio;—;0.45;1.26;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;13.72;19.90;7.80;7.82;5.22;5.26;4.15;7.11;6.66;-16.42;-21.32;1.67;—
Enterprise Value (Mil);21.21;24.61;67.72;71.46;57.10;81.84;140.00;83.39;114.67;76.83;75.33;95.87;—
Enterprise Value/EBIT;4.41;2.97;7.70;8.08;11.17;12.77;14.98;9.74;12.76;—;6.34;12.25;—
Enterprise Value/EBITDA;2.75;1.88;4.82;5.39;5.51;7.37;10.62;6.19;6.60;7.82;30.67;8.02;—
