Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.53;0.53;0.61;0.69;0.70;0.83;0.82;0.66;0.71;0.53;0.70;0.68;1.50
Price/Earnings;18.87;18.47;25.57;25.48;19.85;26.31;23.39;20.62;23.48;—;15.64;21.17;24.83
Price/Cash Flow;10.06;9.52;18.16;15.13;13.66;17.72;15.94;11.86;12.31;16.20;14.32;13.87;11.13
Price/Book;3.44;3.30;3.78;3.87;3.70;4.49;4.71;3.97;3.46;3.67;3.83;3.80;1.87
Price/Forward Earnings;15.36;12.85;16.86;20.16;21.83;22.52;20.20;17.48;19.38;29.24;18.21;20.79;—
PEG Ratio;7.68;1.63;2.13;1.62;1.59;3.56;3.28;2.25;2.18;5.94;0.21;2.50;—
Earnings Yield %;5.30;5.41;3.91;3.93;5.04;3.80;4.27;4.85;4.26;-3.12;-5.91;3.90;—
Enterprise Value (Bil);9.61;11.26;12.45;13.50;14.81;17.62;18.15;15.31;17.67;14.40;15.23;16.21;—
Enterprise Value/EBIT;11.26;11.44;13.91;14.33;12.26;15.65;15.27;14.92;16.21;—;13.17;14.70;—
Enterprise Value/EBITDA;8.76;8.42;10.68;11.32;9.97;12.29;12.35;11.40;12.15;17.45;51.27;13.93;—
