Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.15;0.10;0.21;0.14;0.19;0.26;0.32;0.11;0.13;0.13;0.14;0.19;1.50
Price/Earnings;21.35;—;—;—;—;—;—;—;—;—;—;205.20;24.83
Price/Cash Flow;22.10;—;—;7.40;3.18;8.07;12.40;—;4.38;13.29;10.79;8.07;11.13
Price/Book;0.45;0.31;0.83;0.66;0.68;0.86;1.34;0.68;1.16;—;0.61;1.06;1.87
Price/Forward Earnings;7.80;9.47;14.37;14.64;42.37;21.19;21.69;—;—;—;18.98;20.34;—
PEG Ratio;0.24;0.25;0.38;0.39;—;—;—;—;—;—;—;—;—
Earnings Yield %;4.68;-20.13;-27.66;-16.63;-4.65;-2.16;-12.98;-28.38;-32.97;-302.79;-635.73;-56.48;—
Enterprise Value (Bil);0.31;0.29;0.59;0.56;0.48;0.52;0.62;0.47;0.53;3.26;3.52;1.08;—
Enterprise Value/EBIT;13.12;—;—;—;34.67;16.51;25.89;8.61;—;—;60.28;99.06;—
Enterprise Value/EBITDA;4.05;8.69;24.80;15.21;8.19;6.83;9.06;4.76;14.40;27.35;27.12;11.10;—
