Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.71;0.57;0.79;0.65;0.85;0.67;0.68;0.72;0.60;0.52;0.65;0.64;1.50
Price/Earnings;11.69;27.68;29.64;9.46;33.73;47.85;35.22;23.18;270.03;490.00;593.33;247.76;24.83
Price/Cash Flow;36.41;—;98.63;3.42;9.87;6.70;14.47;23.37;6.78;2.87;2.72;15.74;11.13
Price/Book;0.62;0.55;0.66;0.60;0.70;0.57;0.59;0.59;0.49;0.36;0.43;0.51;1.87
Price/Forward Earnings;—;12.20;15.41;—;—;—;—;—;—;—;—;—;—
PEG Ratio;—;1.61;2.03;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;8.56;3.61;3.37;10.57;2.96;2.09;2.84;4.31;0.37;0.20;0.17;1.97;—
Enterprise Value (Mil);790.35;810.91;916.53;880.55;934.09;897.44;932.04;923.19;930.49;872.43;843.42;881.49;—
Enterprise Value/EBIT;20.53;32.24;36.25;19.36;34.35;40.95;44.70;40.27;49.46;49.48;48.42;43.52;—
Enterprise Value/EBITDA;16.13;22.12;24.94;15.31;24.57;28.28;30.10;27.46;29.50;26.66;25.20;27.49;—
